pin,slack
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_197:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_197:IPB,
dot_osd_integration_0/tracker/out_glbl_max_x[11]:ALn,
dot_osd_integration_0/tracker/out_glbl_max_x[11]:CLK,
dot_osd_integration_0/tracker/out_glbl_max_x[11]:D,8850
dot_osd_integration_0/tracker/out_glbl_max_x[11]:EN,6943
dot_osd_integration_0/tracker/out_glbl_max_x[11]:Q,
SW_output_obuf/U0/U_IOOUTFF:A,
SW_output_obuf/U0/U_IOOUTFF:Y,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_20:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_20:IPB,
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_14:B,6370
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_14:C,5402
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_14:IPB,6370
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_14:IPC,5402
line_write_read_0/Image_Enhancement_0/s_bout[7]:ALn,
line_write_read_0/Image_Enhancement_0/s_bout[7]:CLK,8674
line_write_read_0/Image_Enhancement_0/s_bout[7]:D,6763
line_write_read_0/Image_Enhancement_0/s_bout[7]:EN,8674
line_write_read_0/Image_Enhancement_0/s_bout[7]:Q,8674
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_66:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_66:IPB,
line_write_read_0/LCD_FSM_0/s_ram_address_cry[8]:B,4523
line_write_read_0/LCD_FSM_0/s_ram_address_cry[8]:C,7681
line_write_read_0/LCD_FSM_0/s_ram_address_cry[8]:FCI,4424
line_write_read_0/LCD_FSM_0/s_ram_address_cry[8]:FCO,4424
line_write_read_0/LCD_FSM_0/s_ram_address_cry[8]:S,4439
data_o_obuf[4]/U0/U_IOOUTFF:A,
data_o_obuf[4]/U0/U_IOOUTFF:Y,
rd_o_obuf/U0/U_IOOUTFF:A,
rd_o_obuf/U0/U_IOOUTFF:Y,
line_write_read_0/Image_Enhancement_0/s_rout[7]:ALn,
line_write_read_0/Image_Enhancement_0/s_rout[7]:CLK,8691
line_write_read_0/Image_Enhancement_0/s_rout[7]:D,6763
line_write_read_0/Image_Enhancement_0/s_rout[7]:EN,8674
line_write_read_0/Image_Enhancement_0/s_rout[7]:Q,8691
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:IPB,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif0_core:ALn,17898
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif0_core:CLK,5025
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif0_core:Q,5025
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/MSS_HPMS_READY_int_4:A,7997
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/MSS_HPMS_READY_int_4:B,7906
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/MSS_HPMS_READY_int_4:C,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/MSS_HPMS_READY_int_4:D,6827
