pin,slack
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_cry[7]:FCO,4293
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_cry[7]:S,4373
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_12:B,6345
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_12:C,5433
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_12:IPB,6345
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_12:IPC,5433
led_blink_0/un5_counter_1_cry_22:B,6886
led_blink_0/un5_counter_1_cry_22:FCI,6528
led_blink_0/un5_counter_1_cry_22:FCO,6528
led_blink_0/un5_counter_1_cry_22:S,7451
dot_osd_integration_0/tracker/glbl_max_y7_cry_15:A,6680
dot_osd_integration_0/tracker/glbl_max_y7_cry_15:B,6664
dot_osd_integration_0/tracker/glbl_max_y7_cry_15:FCI,6424
dot_osd_integration_0/tracker/glbl_max_y7_cry_15:FCO,6424
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_3_277_a4_1:A,6655
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_3_277_a4_1:B,3733
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_3_277_a4_1:C,6663
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_3_277_a4_1:D,6537
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_3_277_a4_1:Y,3733
UART_interface_0/addr_decoder_0/common_const_o[7]:ALn,6376
UART_interface_0/addr_decoder_0/common_const_o[7]:CLK,6340
UART_interface_0/addr_decoder_0/common_const_o[7]:D,8836
UART_interface_0/addr_decoder_0/common_const_o[7]:EN,5473
UART_interface_0/addr_decoder_0/common_const_o[7]:Q,6340
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/FF_19:IPENn,
FlashFreeze_SB_0/CCC_0/CCC_INST/IP_INTERFACE_10:A,
FlashFreeze_SB_0/CCC_0/CCC_INST/IP_INTERFACE_10:IPA,
FlashFreeze_SB_0/CCC_0/CCC_INST/IP_INTERFACE_10:IPB,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_12_RNIHTLLH1[1]:A,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_12_RNIHTLLH1[1]:B,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_12_RNIHTLLH1[1]:C,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_12_RNIHTLLH1[1]:D,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_12_RNIHTLLH1[1]:Y,
dot_osd_integration_0/overlay/y_cnt_RNIO50JU[3]:B,6752
dot_osd_integration_0/overlay/y_cnt_RNIO50JU[3]:FCI,4672
dot_osd_integration_0/overlay/y_cnt_RNIO50JU[3]:FCO,4672
dot_osd_integration_0/overlay/y_cnt_RNIO50JU[3]:S,5696
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[2]:A,6858
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[2]:B,4732
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[2]:C,6874
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[2]:Y,4732
dot_osd_integration_0/overlay/eng/bcdx/bcd0_21_RNIOTIII[1]:A,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_21_RNIOTIII[1]:B,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_21_RNIOTIII[1]:C,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_21_RNIOTIII[1]:D,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_21_RNIOTIII[1]:Y,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sdif3_areset_n_rcosc:A,17898
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sdif3_areset_n_rcosc:B,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sdif3_areset_n_rcosc:Y,17898
dot_osd_integration_0/overlay/eng/bcdy/bcd0_24[1]:A,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_24[1]:B,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_24[1]:C,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_24[1]:D,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_24[1]:Y,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_4:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_4:IPB,
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll0l[3]:ALn,6376
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll0l[3]:CLK,6870
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll0l[3]:D,6939
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll0l[3]:EN,7736
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll0l[3]:Q,6870
line_write_read_0/LCD_FSM_0/un1_s_state_12_0:A,7691
line_write_read_0/LCD_FSM_0/un1_s_state_12_0:B,6812
line_write_read_0/LCD_FSM_0/un1_s_state_12_0:C,6586
line_write_read_0/LCD_FSM_0/un1_s_state_12_0:D,5495
line_write_read_0/LCD_FSM_0/un1_s_state_12_0:Y,5495
line_write_read_0/LCD_FSM_0/s_state[0]:ALn,
line_write_read_0/LCD_FSM_0/s_state[0]:CLK,3450
line_write_read_0/LCD_FSM_0/s_state[0]:D,2396
line_write_read_0/LCD_FSM_0/s_state[0]:Q,3450
led_obuf[1]/U0/U_IOENFF:A,
led_obuf[1]/U0/U_IOENFF:Y,
dot_osd_integration_0/tracker/glbl_min_x[13]:ALn,
dot_osd_integration_0/tracker/glbl_min_x[13]:CLK,6668
dot_osd_integration_0/tracker/glbl_min_x[13]:D,8830
dot_osd_integration_0/tracker/glbl_min_x[13]:EN,5612
dot_osd_integration_0/tracker/glbl_min_x[13]:Q,6668
dot_osd_integration_0/tracker/glbl_min_x[13]:SLn,6676
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il[0]:ALn,6376
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il[0]:CLK,8856
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il[0]:D,7769
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il[0]:EN,6668
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il[0]:Q,8856
dot_osd_integration_0/tracker/out_glbl_max_y[6]:ALn,
dot_osd_integration_0/tracker/out_glbl_max_y[6]:CLK,
dot_osd_integration_0/tracker/out_glbl_max_y[6]:D,8850
dot_osd_integration_0/tracker/out_glbl_max_y[6]:EN,6943
dot_osd_integration_0/tracker/out_glbl_max_y[6]:Q,
dot_osd_integration_0/tracker/out_glbl_max_x[8]:ALn,
dot_osd_integration_0/tracker/out_glbl_max_x[8]:CLK,
dot_osd_integration_0/tracker/out_glbl_max_x[8]:D,8850
dot_osd_integration_0/tracker/out_glbl_max_x[8]:EN,6943
dot_osd_integration_0/tracker/out_glbl_max_x[8]:Q,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/FF_25:IPENn,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_32:IPB,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_32:IPC,
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_15:B,8696
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_15:C,8630
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_15:IPB,8696
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_15:IPC,8630
dot_osd_integration_0/tracker/row_idx_RNIVRP5J[12]:B,7735
dot_osd_integration_0/tracker/row_idx_RNIVRP5J[12]:C,5841
dot_osd_integration_0/tracker/row_idx_RNIVRP5J[12]:FCI,5649
dot_osd_integration_0/tracker/row_idx_RNIVRP5J[12]:FCO,5649
dot_osd_integration_0/tracker/row_idx_RNIVRP5J[12]:S,5697
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif2_core:ALn,17898
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif2_core:CLK,5025
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif2_core:Q,5025
FlashFreeze_SB_0/BIBUF_0/U0/U_IOINFF:A,
FlashFreeze_SB_0/BIBUF_0/U0/U_IOINFF:Y,
dot_osd_integration_0/overlay/eng/cy_offset[1]:A,
dot_osd_integration_0/overlay/eng/cy_offset[1]:B,
dot_osd_integration_0/overlay/eng/cy_offset[1]:C,
dot_osd_integration_0/overlay/eng/cy_offset[1]:Y,
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_32:C,8800
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_32:IPB,
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_32:IPC,8800
dot_osd_integration_0/overlay/x_cnt_RNILLL7A[0]:B,6697
dot_osd_integration_0/overlay/x_cnt_RNILLL7A[0]:FCI,5578
dot_osd_integration_0/overlay/x_cnt_RNILLL7A[0]:FCO,5578
dot_osd_integration_0/overlay/x_cnt_RNILLL7A[0]:S,6650
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTO0Il_11[2]:A,7991
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTO0Il_11[2]:B,7819
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTO0Il_11[2]:C,7769
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTO0Il_11[2]:Y,7769
line_write_read_0/LCD_FSM_0/un1_s_state_18_0_0:A,4631
line_write_read_0/LCD_FSM_0/un1_s_state_18_0_0:B,4002
line_write_read_0/LCD_FSM_0/un1_s_state_18_0_0:C,5682
line_write_read_0/LCD_FSM_0/un1_s_state_18_0_0:D,5496
line_write_read_0/LCD_FSM_0/un1_s_state_18_0_0:Y,4002
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_12:B,6345
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_12:C,5433
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_12:IPB,6345
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_12:IPC,5433
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m12:A,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m12:B,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m12:Y,
UART_interface_0/addr_decoder_0/blue_const_o[9]:ALn,6376
UART_interface_0/addr_decoder_0/blue_const_o[9]:CLK,5421
UART_interface_0/addr_decoder_0/blue_const_o[9]:D,8836
UART_interface_0/addr_decoder_0/blue_const_o[9]:EN,5539
UART_interface_0/addr_decoder_0/blue_const_o[9]:Q,5421
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/FF_20:IPENn,
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTl0Il_4[3]:A,7938
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTl0Il_4[3]:B,7889
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTl0Il_4[3]:C,4778
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTl0Il_4[3]:D,6603
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTl0Il_4[3]:Y,4778
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_bout_4_iv[5]:A,7925
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_bout_4_iv[5]:B,6763
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_bout_4_iv[5]:C,7868
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_bout_4_iv[5]:Y,6763
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_99:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_99:IPB,
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_RNO_0[3]:A,6849
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_RNO_0[3]:B,6774
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_RNO_0[3]:C,5743
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_RNO_0[3]:D,3450
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_RNO_0[3]:Y,3450
dot_osd_integration_0/tracker/un3_center_x_cry_4:A,
dot_osd_integration_0/tracker/un3_center_x_cry_4:B,
dot_osd_integration_0/tracker/un3_center_x_cry_4:FCI,
dot_osd_integration_0/tracker/un3_center_x_cry_4:FCO,
dot_osd_integration_0/tracker/un3_center_x_cry_4:S,
dot_osd_integration_0/tracker/glbl_max_x[8]:ALn,
dot_osd_integration_0/tracker/glbl_max_x[8]:CLK,6552
dot_osd_integration_0/tracker/glbl_max_x[8]:D,8830
dot_osd_integration_0/tracker/glbl_max_x[8]:EN,5612
dot_osd_integration_0/tracker/glbl_max_x[8]:Q,6552
dot_osd_integration_0/tracker/glbl_max_x[8]:SLn,6676
line_write_read_0/WRITE_LSRAM_0/s_v_counter[8]:ALn,
line_write_read_0/WRITE_LSRAM_0/s_v_counter[8]:CLK,4728
line_write_read_0/WRITE_LSRAM_0/s_v_counter[8]:D,4586
line_write_read_0/WRITE_LSRAM_0/s_v_counter[8]:EN,7725
line_write_read_0/WRITE_LSRAM_0/s_v_counter[8]:Q,4728
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_76:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_76:IPB,
apb3_if_0/dc_o_1_sqmuxa_0_a2:A,6484
apb3_if_0/dc_o_1_sqmuxa_0_a2:B,3971
apb3_if_0/dc_o_1_sqmuxa_0_a2:C,6373
apb3_if_0/dc_o_1_sqmuxa_0_a2:D,6236
apb3_if_0/dc_o_1_sqmuxa_0_a2:Y,3971
UART_interface_0/receive_data_0/s_data[18]:ALn,6376
UART_interface_0/receive_data_0/s_data[18]:CLK,8856
UART_interface_0/receive_data_0/s_data[18]:D,8830
UART_interface_0/receive_data_0/s_data[18]:EN,7717
UART_interface_0/receive_data_0/s_data[18]:Q,8856
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_4:IPB,
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_4:IPC,
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_0:IPB,
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_0:IPC,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/INIT_DONE_RNIV1UU3/U0_RGB1:An,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/INIT_DONE_RNIV1UU3/U0_RGB1:YL,6376
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_188:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_103:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_103:IPB,
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTlIll.CUARTIlIl_3_i_0_a2[3]:A,4916
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTlIll.CUARTIlIl_3_i_0_a2[3]:B,6003
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTlIll.CUARTIlIl_3_i_0_a2[3]:Y,4916
dot_osd_integration_0/tracker/row_idx[12]:ALn,
dot_osd_integration_0/tracker/row_idx[12]:CLK,6596
dot_osd_integration_0/tracker/row_idx[12]:D,5697
dot_osd_integration_0/tracker/row_idx[12]:EN,7536
dot_osd_integration_0/tracker/row_idx[12]:Q,6596
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/FF_6:IPCLKn,
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/FF_6:IPENn,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif0_core_q1:ALn,6409
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif0_core_q1:CLK,8856
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif0_core_q1:D,5025
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif0_core_q1:Q,8856
dot_osd_integration_0/tracker/col_idx_RNI4E0KF3[5]:B,4427
dot_osd_integration_0/tracker/col_idx_RNI4E0KF3[5]:C,7580
dot_osd_integration_0/tracker/col_idx_RNI4E0KF3[5]:FCI,4347
dot_osd_integration_0/tracker/col_idx_RNI4E0KF3[5]:FCO,4347
dot_osd_integration_0/tracker/col_idx_RNI4E0KF3[5]:S,4507
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/FF_21:IPENn,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_158:IPA,
line_write_read_0/LCD_FSM_0/un1_s_state_13_0_o2:A,4441
line_write_read_0/LCD_FSM_0/un1_s_state_13_0_o2:B,4438
line_write_read_0/LCD_FSM_0/un1_s_state_13_0_o2:C,3419
line_write_read_0/LCD_FSM_0/un1_s_state_13_0_o2:D,3366
line_write_read_0/LCD_FSM_0/un1_s_state_13_0_o2:Y,3366
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif1_core_clk_base:ALn,6409
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif1_core_clk_base:CLK,5851
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif1_core_clk_base:D,8856
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif1_core_clk_base:Q,5851
dot_osd_integration_0/overlay/eng/bcdx/bcd0_24[1]:A,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_24[1]:B,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_24[1]:C,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_24[1]:D,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_24[1]:Y,
led_blink_0/led[0]:ALn,
led_blink_0/led[0]:CLK,
led_blink_0/led[0]:D,
led_blink_0/led[0]:Q,
line_write_read_0/LCD_FSM_0/lcd_wr_o_RNO:A,6816
line_write_read_0/LCD_FSM_0/lcd_wr_o_RNO:B,7786
line_write_read_0/LCD_FSM_0/lcd_wr_o_RNO:C,4588
line_write_read_0/LCD_FSM_0/lcd_wr_o_RNO:D,5588
line_write_read_0/LCD_FSM_0/lcd_wr_o_RNO:Y,4588
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_rout_6_iv[7]:A,7925
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_rout_6_iv[7]:B,6763
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_rout_6_iv[7]:C,7868
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_rout_6_iv[7]:Y,6763
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m61_2_1:A,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m61_2_1:B,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m61_2_1:C,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m61_2_1:D,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m61_2_1:Y,
dot_osd_integration_0/overlay/eng/in_box18:A,
dot_osd_integration_0/overlay/eng/in_box18:B,
dot_osd_integration_0/overlay/eng/in_box18:C,
dot_osd_integration_0/overlay/eng/in_box18:D,
dot_osd_integration_0/overlay/eng/in_box18:Y,
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[10]:A,5823
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[10]:B,3734
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[10]:C,5839
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[10]:Y,3734
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_5:B,6362
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_5:D,6396
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_5:IPB,6362
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_5:IPC,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_5:IPD,6396
line_write_read_0/Image_Enhancement_0/s_ram_addr[1]:ALn,
line_write_read_0/Image_Enhancement_0/s_ram_addr[1]:CLK,8856
line_write_read_0/Image_Enhancement_0/s_ram_addr[1]:D,8850
line_write_read_0/Image_Enhancement_0/s_ram_addr[1]:Q,8856
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n:A,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n:B,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n:Y,
TX_obuf/U0/U_IOENFF:A,
TX_obuf/U0/U_IOENFF:Y,
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_gout_4_iv[7]:A,7918
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_gout_4_iv[7]:B,6756
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_gout_4_iv[7]:C,7868
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_gout_4_iv[7]:Y,6756
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_88:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_88:IPB,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_25:IPB,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_25:IPC,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m47_0:A,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m47_0:B,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m47_0:C,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m47_0:Y,
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_RNI86TBK[8]:A,4907
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_RNI86TBK[8]:B,4863
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_RNI86TBK[8]:C,4780
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_RNI86TBK[8]:D,4679
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_RNI86TBK[8]:Y,4679
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux:A,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux:B,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux:C,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux:D,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux:FCO,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux:Y,
UART_interface_0/addr_decoder_0/blue_const_o_1_sqmuxa_0_a2:A,7828
UART_interface_0/addr_decoder_0/blue_const_o_1_sqmuxa_0_a2:B,7792
UART_interface_0/addr_decoder_0/blue_const_o_1_sqmuxa_0_a2:C,7705
UART_interface_0/addr_decoder_0/blue_const_o_1_sqmuxa_0_a2:D,5539
UART_interface_0/addr_decoder_0/blue_const_o_1_sqmuxa_0_a2:Y,5539
line_write_read_0/ramDualPort_0/ram_ram_0_0/FF_10:IPENn,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/FF_24:IPENn,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_85:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_85:IPB,
dot_osd_integration_0/overlay/eng/un1_py_6_v_i_4_RNIRJ5TH:A,
dot_osd_integration_0/overlay/eng/un1_py_6_v_i_4_RNIRJ5TH:B,
dot_osd_integration_0/overlay/eng/un1_py_6_v_i_4_RNIRJ5TH:C,
dot_osd_integration_0/overlay/eng/un1_py_6_v_i_4_RNIRJ5TH:D,
dot_osd_integration_0/overlay/eng/un1_py_6_v_i_4_RNIRJ5TH:Y,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_18[2]:A,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_18[2]:B,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_18[2]:C,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_18[2]:D,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_18[2]:Y,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_53:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_53:IPB,
dot_osd_integration_0/tracker/glbl_min_x[0]:ALn,
dot_osd_integration_0/tracker/glbl_min_x[0]:CLK,6460
dot_osd_integration_0/tracker/glbl_min_x[0]:D,8830
dot_osd_integration_0/tracker/glbl_min_x[0]:EN,5612
dot_osd_integration_0/tracker/glbl_min_x[0]:Q,6460
dot_osd_integration_0/tracker/glbl_min_x[0]:SLn,6676
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m7:A,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m7:B,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m7:Y,
rd_o_obuf/U0/U_IOPAD:D,
rd_o_obuf/U0/U_IOPAD:E,
rd_o_obuf/U0/U_IOPAD:PAD,
led_obuf[0]/U0/U_IOENFF:A,
led_obuf[0]/U0/U_IOENFF:Y,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_27:IPB,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_27:IPC,
led_blink_0/counter[7]:ALn,
led_blink_0/counter[7]:CLK,6646
led_blink_0/counter[7]:D,7691
led_blink_0/counter[7]:Q,6646
